book_type,level,unit,track_number,title,page_reference,type,audio_file_id,duration,category
student_book,starter,2,2.18,Track 2.18,,audio,CQACAgQAAxkBAAIBvWqisxHYEuUuWPT5aWGfMxEjxr8zAAKGHgACmGnxUGTfzeAxxDqlPQQ,36,main
student_book,starter,2,2.19,Track 2.19,,audio,CQACAgQAAxkBAAIBvmqisxGa2k9xyoovf4wO8BvZxMERAAKHHgACmGnxUJnhm03Ol8hFPQQ,11,main
student_book,starter,2,2.20,Track 2.20,,audio,CQACAgQAAxkBAAIBv2qisxEQ6qH-omeZSbDTpvDzWAtrAAKIHgACmGnxUDsrNMoFy1IuPQQ,32,main
student_book,starter,2,2.21,Track 2.21,,audio,CQACAgQAAxkBAAIBwGqisxEsf0ZOPkH7LsW1nTLVy3WSAAKJHgACmGnxUCDi0HkuOjw0PQQ,39,main
student_book,starter,2,2.22,Track 2.22,,audio,CQACAgQAAxkBAAIBwmqisxG7BQy9K_c6BJytWzTyh2tQAAKLHgACmGnxULrsn80uUjcJPQQ,60,main
student_book,starter,2,2.23,Track 2.23,,audio,CQACAgQAAxkBAAIBxGqisxExN6bRRc-EqXxsY1Sx28rlAAKNHgACmGnxUGvnK16Jb2fdPQQ,96,main
student_book,starter,2,2.24,Track 2.24,,audio,CQACAgQAAxkBAAIBxmqisxE5Eg8mAtCnevU4MtiBng__AAKPHgACmGnxUBDxSY4cs46mPQQ,77,main
student_book,starter,2,2.25,Track 2.25,,audio,CQACAgQAAxkBAAIByGqisxEgfBCiir8drLVfpyTt2bkpAAKRHgACmGnxUCGTOCmZGWo1PQQ,37,main
student_book,starter,2,2.26,Track 2.26,,audio,CQACAgQAAxkBAAIBymqisxFZZT9fQVYW_OO0vp98puT8AAKTHgACmGnxUOTtNQaTSQQIPQQ,62,main
student_book,starter,2,2.27,Track 2.27,,audio,CQACAgQAAxkBAAIBzGqisxHGot1uiR4apMHcLpNXtAiZAAKVHgACmGnxUAVJmmMPh_hJPQQ,60,main
student_book,starter,2,2.28,Track 2.28,,audio,CQACAgQAAxkBAAIBzmqisxEwY4hu_gpCHFKmDcxeZJHBAAKXHgACmGnxUEXv1y73E-4ZPQQ,65,main
student_book,starter,3,3.01,Track 3.01,,audio,CQACAgQAAxkBAAIB3WqisxGmLB_d57T5XnIYMjz7UY3tAAKmHgACmGnxUH7u9FWezwrJPQQ,84,main
student_book,starter,3,3.02,Track 3.02,,audio,CQACAgQAAxkBAAIB32qisxHV-qBvRNJlNOKAZXYHjbf7AAKoHgACmGnxUOEbkeMSoir-PQQ,56,main
student_book,starter,3,3.03,Track 3.03,,audio,CQACAgQAAxkBAAIB4WqisxHrVFA46q09Vst4cLANxW67AAKrHgACmGnxUFTkEjnPoUyjPQQ,18,main
student_book,starter,3,3.04,Track 3.04,,audio,CQACAgQAAxkBAAIB42qisxHi4E3_hz_ZYTxpW0eZ703EAAKtHgACmGnxUDaMPn-77-zwPQQ,42,main
student_book,starter,3,3.05,Track 3.05,,audio,CQACAgQAAxkBAAIB5WqisxHvAAEt3iNb5AO7C0CSWK2O1QACrx4AAphp8VA0rm9oVzA0MT0E,18,main
student_book,starter,3,3.06,Track 3.06,,audio,CQACAgQAAxkBAAIB52qisxGn29_ctYclsFS_nzuuHWOEAAKxHgACmGnxULe97qCKbG35PQQ,47,main
student_book,starter,3,3.07,Track 3.07,,audio,CQACAgQAAxkBAAIB6GqisxHRnSqaPsHGtgOTtloPZ1H1AAKzHgACmGnxUI4Wlkl_k-p6PQQ,100,main
student_book,starter,3,3.08,Track 3.08,,audio,CQACAgQAAxkBAAIB6WqisxHxtf_v6C1NP4GP7a99ExbZAAK0HgACmGnxUNbqmu61EwPyPQQ,66,main
student_book,starter,3,3.09,Track 3.09,,audio,CQACAgQAAxkBAAIB6mqisxFJL88CwB2flEJ_mDEmdm58AAK1HgACmGnxUNQIe273GAQ1PQQ,37,main
student_book,starter,3,3.10,Track 3.10,,audio,CQACAgQAAxkBAAIB62qisxFJRl5C0cBZu3XZzeJXX994AAK2HgACmGnxUElpEURmWTa2PQQ,42,main
student_book,starter,3,3.11,Track 3.11,,audio,CQACAgQAAxkBAAIB0mqisxF1Pipa2vRBNRjsxJYIEQPzAAKbHgACmGnxUGUU--JSZn9RPQQ,38,main
student_book,starter,3,3.12,Track 3.12,,audio,CQACAgQAAxkBAAIB02qisxHCAzZs8MhHmNYR0beq_fOpAAKcHgACmGnxUDooLDoZ96Q-PQQ,62,main
student_book,starter,3,3.13,Track 3.13,,audio,CQACAgQAAxkBAAIB1GqisxHsIaYPV7JZTr0rjkYcwXVyAAKdHgACmGnxUPoWrXdHMinRPQQ,42,main
student_book,starter,3,3.14,Track 3.14,,audio,CQACAgQAAxkBAAIB1WqisxFeo_ekZjNJEQY0iblQOGYHAAKeHgACmGnxUEUF2J-qs-L4PQQ,22,main
student_book,starter,3,3.15,Track 3.15,,audio,CQACAgQAAxkBAAIB1mqisxESo1eFK_ttdbfWrBks-ZkgAAKfHgACmGnxUGmpSVSLAhqaPQQ,21,main
student_book,starter,3,3.16,Track 3.16,,audio,CQACAgQAAxkBAAIB12qisxE7zOHL50Jxaatuh3Lgd757AAKgHgACmGnxUOrqQOrOAis3PQQ,42,main
student_book,starter,3,3.17,Track 3.17,,audio,CQACAgQAAxkBAAIB2GqisxFH88V0ouTCC-Zu7tXk-NuMAAKhHgACmGnxUGZh4rMINpQzPQQ,39,main
